island,variable,estimate
Blakely,biomass,55.249
Blakely,canopy_cover,82
Blakely,elevation,81
Flattop,biomass,112.976
Flattop,canopy_cover,36
Flattop,elevation,9
Lopez,biomass,30.194
Lopez,canopy_cover,59
Lopez,elevation,68.5
Orcas,biomass,79.38341666666666
Orcas,canopy_cover,62.333333333333336
Orcas,elevation,126.58333333333333
San Juan,biomass,54.2
San Juan,canopy_cover,51
San Juan,elevation,63.833333333333336
Shaw,biomass,9.675
Shaw,canopy_cover,29
Shaw,elevation,19
Waldron,biomass,181.2545
Waldron,canopy_cover,58.5
Waldron,elevation,15
